answerKey,id,choices,stem,choice_0,choice_1,choice_2,choice_3,choice_4,label
D,c1d9072b3649b2f28a03c4f097e9bef9,"[{'label': 'A', 'text': 'recyclable'}, {'label': 'B', 'text': 'very fragile'}, {'label': 'C', 'text': 'half empty'}, {'label': 'D', 'text': 'clear'}, {'label': 'E', 'text': 'inventive'}]",James picked glass walls because they let more light into the room. Why did they let light in?,recyclable,very fragile,half empty,clear,inventive,3
A,e4a9835ce1797f01e435a52bbe232ef1,"[{'label': 'A', 'text': ""harm's way""}, {'label': 'B', 'text': 'school'}, {'label': 'C', 'text': 'society'}, {'label': 'D', 'text': 'hotel'}, {'label': 'E', 'text': 'house'}]","If you're human, or even if you aren't, you'll want to stay out of this. What is this?",harm's way,school,society,hotel,house,0
D,b8d886e88d9d3dd16a212ecffb727da6,"[{'label': 'A', 'text': 'communication'}, {'label': 'B', 'text': 'listening to'}, {'label': 'C', 'text': 'getting acquainted'}, {'label': 'D', 'text': 'revelation'}, {'label': 'E', 'text': 'conversation'}]","If you learn something about a person that you're talking to, what is it called?",communication,listening to,getting acquainted,revelation,conversation,3
E,3b8e1d236f5169b6c833a994d6d9c39a,"[{'label': 'A', 'text': 'motel'}, {'label': 'B', 'text': 'hospital'}, {'label': 'C', 'text': 'chair'}, {'label': 'D', 'text': 'hotels'}, {'label': 'E', 'text': 'people'}]",What are you waiting alongside with when you're in a reception area?,motel,hospital,chair,hotels,people,4
D,1965732db6d3b02fd4c58c2304c4dc9f,"[{'label': 'A', 'text': 'murky liquid'}, {'label': 'B', 'text': 'night or day'}, {'label': 'C', 'text': 'atmosphere'}, {'label': 'D', 'text': 'weather report'}, {'label': 'E', 'text': 'car'}]",What would you use to find out if there will be a cloud in the sky?,murky liquid,night or day,atmosphere,weather report,car,3
E,fc268a84c494543ba08f9b7a17b53292,"[{'label': 'A', 'text': 'windows 95'}, {'label': 'B', 'text': 'ammunition shop'}, {'label': 'C', 'text': 'school'}, {'label': 'D', 'text': 'desk'}, {'label': 'E', 'text': 'office supply store'}]",Sam ran out of clipboards. Where might he got for more?,windows 95,ammunition shop,school,desk,office supply store,4
C,14e9f1ab04ad31019e71dc3fd2c0ca50,"[{'label': 'A', 'text': 'purse'}, {'label': 'B', 'text': 'keep track of emails'}, {'label': 'C', 'text': 'bank'}, {'label': 'D', 'text': 'keep accounts'}, {'label': 'E', 'text': 'desk drawer'}]",What would use an account book?,purse,keep track of emails,bank,keep accounts,desk drawer,2
D,79abfe2d98399fa0029a09721e232b66,"[{'label': 'A', 'text': 'help people'}, {'label': 'B', 'text': 'was given to'}, {'label': 'C', 'text': 'all know'}, {'label': 'D', 'text': 'have no other choice'}, {'label': 'E', 'text': ""can't help it""}]",Must people get up and live life because they?,help people,was given to,all know,have no other choice,can't help it,3
D,a84a2308e9fa58e05aaf4c35ee131e06,"[{'label': 'A', 'text': 'grocery store'}, {'label': 'B', 'text': 'medicine cabinet'}, {'label': 'C', 'text': 'dishwasher'}, {'label': 'D', 'text': 'diaper bag'}, {'label': 'E', 'text': 'liquor store'}]","She dug around her what, but just could not find the baby bottle she swore she packed?",grocery store,medicine cabinet,dishwasher,diaper bag,liquor store,3
E,86c59f14af97b33ec13edc6ec4389e31,"[{'label': 'A', 'text': ""calligrapher's hand""}, {'label': 'B', 'text': 'inkwell'}, {'label': 'C', 'text': 'shirt pocket'}, {'label': 'D', 'text': 'desk drawer'}, {'label': 'E', 'text': 'blotter'}]",What do people use to absorb extra ink from a fountain pen?,calligrapher's hand,inkwell,shirt pocket,desk drawer,blotter,4
D,b313cc908e31ea60e6b062deaac7dd04,"[{'label': 'A', 'text': 'drink water'}, {'label': 'B', 'text': 'fatigue'}, {'label': 'C', 'text': 'aerobic activity'}, {'label': 'D', 'text': 'get tired'}, {'label': 'E', 'text': 'lose weight'}]","The trainer told him to keep doing the same exercise, he said he had to keep doing it until he what?",drink water,fatigue,aerobic activity,get tired,lose weight,3
B,8fb1a2225e6da4e1172dbeb98dffdabd,"[{'label': 'A', 'text': 'opera'}, {'label': 'B', 'text': 'show'}, {'label': 'C', 'text': 'theater'}, {'label': 'D', 'text': 'na'}, {'label': 'E', 'text': 'television'}]","Some actors are very talented, they can get any emotion to what?",opera,show,theater,na,television,1
C,424ccc1273d06f1f8008affe57910e38,"[{'label': 'A', 'text': 'american army'}, {'label': 'B', 'text': 'boys scout'}, {'label': 'C', 'text': 'army corps'}, {'label': 'D', 'text': 'military band'}, {'label': 'E', 'text': 'brass band'}]",What are you a part of if you hear a bugle in the mornings?,american army,boys scout,army corps,military band,brass band,2
B,6da01e082121412d5dfa2ada166e7c47,"[{'label': 'A', 'text': 'uncertainty'}, {'label': 'B', 'text': 'compromises'}, {'label': 'C', 'text': 'hug'}, {'label': 'D', 'text': 'calmness'}, {'label': 'E', 'text': 'fucking'}]",Reaching tentative agreement is the first result when two side make what to come closer together?,uncertainty,compromises,hug,calmness,fucking,1
C,b590f6cd323ca13f58a5899e043f8060,"[{'label': 'A', 'text': 'election'}, {'label': 'B', 'text': 'trouble'}, {'label': 'C', 'text': 'board room'}, {'label': 'D', 'text': 'press conference'}, {'label': 'E', 'text': 'country'}]",Where is the president likely to meet others?,election,trouble,board room,press conference,country,2
A,ca19d2cd29de013dd5e466bd23c11223,"[{'label': 'A', 'text': 'shock'}, {'label': 'B', 'text': 'joy'}, {'label': 'C', 'text': 'hurt'}, {'label': 'D', 'text': 'understanding'}, {'label': 'E', 'text': 'satisfaction'}]","The person had always assumed, but discovering the truth came as a what?",shock,joy,hurt,understanding,satisfaction,0
B,c7e4e5829ee9ad26b801fe0889d721a0,"[{'label': 'A', 'text': 'backyard'}, {'label': 'B', 'text': 'ranch'}, {'label': 'C', 'text': 'backyard'}, {'label': 'D', 'text': 'hold things'}, {'label': 'E', 'text': 'farm yard'}]",If you raise food animals where would you put a shed?,backyard,ranch,backyard,hold things,farm yard,1
B,f32446abd5fda92d076d38e1076d5edd,"[{'label': 'A', 'text': 'cloud vision'}, {'label': 'B', 'text': 'bring rain'}, {'label': 'C', 'text': 'weather'}, {'label': 'D', 'text': 'awe inspiring'}, {'label': 'E', 'text': 'rain water'}]",What are dark clouds likely to do?,cloud vision,bring rain,weather,awe inspiring,rain water,1
C,b9d17f542983ca77d70a7485c186b486,"[{'label': 'A', 'text': 'grocery store'}, {'label': 'B', 'text': 'fridge'}, {'label': 'C', 'text': 'refrigerator'}, {'label': 'D', 'text': 'greengrocer'}, {'label': 'E', 'text': 'in your grocery bag'}]",Where would you get an apple that you already bought?,grocery store,fridge,refrigerator,greengrocer,in your grocery bag,2
A,8ec4a5cfff8a696d3c6818b31e541d87,"[{'label': 'A', 'text': 'playing around'}, {'label': 'B', 'text': 'hug'}, {'label': 'C', 'text': 'constructing'}, {'label': 'D', 'text': 'making things'}, {'label': 'E', 'text': 'kiss'}]","The two were wrestling, having fun and what?",playing around,hug,constructing,making things,kiss,0
E,941739fc3c70b4b0804d1219b998a2c2,"[{'label': 'A', 'text': 'music store'}, {'label': 'B', 'text': 'band'}, {'label': 'C', 'text': 'chinatown'}, {'label': 'D', 'text': 'tibet'}, {'label': 'E', 'text': 'orchestra'}]","The conductor ordered the gong to sound, who was the gong player playing with?",music store,band,chinatown,tibet,orchestra,4
C,83554add726aabdbdc1ba2a85daec468,"[{'label': 'A', 'text': 'clothing store'}, {'label': 'B', 'text': 'expensive'}, {'label': 'C', 'text': 'buying'}, {'label': 'D', 'text': 'overpriced'}, {'label': 'E', 'text': 'k mart'}]",If you need an item is it a good idea to wait for a sale before what?,clothing store,expensive,buying,overpriced,k mart,2
B,b63e5cd88bfe75d29ff9fdc6dd97fed6,"[{'label': 'A', 'text': 'crash'}, {'label': 'B', 'text': 'slow down'}, {'label': 'C', 'text': 'land'}, {'label': 'D', 'text': 'carry people'}, {'label': 'E', 'text': 'speed up'}]",What do airplanes do as they are arriving at the gate?,crash,slow down,land,carry people,speed up,1
B,1074644524e7a41f4425a9584b77232d,"[{'label': 'A', 'text': 'string quartet'}, {'label': 'B', 'text': 'music room'}, {'label': 'C', 'text': 'band room'}, {'label': 'D', 'text': 'orchestra'}, {'label': 'E', 'text': 'attic'}]",Where would you store a violin along with all of your other instruments?,string quartet,music room,band room,orchestra,attic,1
