answerKey,id,choices,stem,choice_0,choice_1,choice_2,choice_3,choice_4,label
D,c1d9072b3649b2f28a03c4f097e9bef9,"[{'label': 'A', 'text': 'recyclable'}, {'label': 'B', 'text': 'very fragile'}, {'label': 'C', 'text': 'inventive'}, {'label': 'D', 'text': 'clear'}, {'label': 'E', 'text': 'half empty'}]",James picked glass walls because they let more light into the room. Why did they let light in?,recyclable,very fragile,inventive,clear,half empty,3
E,e4a9835ce1797f01e435a52bbe232ef1,"[{'label': 'A', 'text': 'society'}, {'label': 'B', 'text': 'school'}, {'label': 'C', 'text': 'house'}, {'label': 'D', 'text': 'hotel'}, {'label': 'E', 'text': ""harm's way""}]","If you're human, or even if you aren't, you'll want to stay out of this. What is this?",society,school,house,hotel,harm's way,4
D,b8d886e88d9d3dd16a212ecffb727da6,"[{'label': 'A', 'text': 'communication'}, {'label': 'B', 'text': 'listening to'}, {'label': 'C', 'text': 'conversation'}, {'label': 'D', 'text': 'revelation'}, {'label': 'E', 'text': 'getting acquainted'}]","If you learn something about a person that you're talking to, what is it called?",communication,listening to,conversation,revelation,getting acquainted,3
D,1965732db6d3b02fd4c58c2304c4dc9f,"[{'label': 'A', 'text': 'murky liquid'}, {'label': 'B', 'text': 'atmosphere'}, {'label': 'C', 'text': 'car'}, {'label': 'D', 'text': 'weather report'}, {'label': 'E', 'text': 'night or day'}]",What would you use to find out if there will be a cloud in the sky?,murky liquid,atmosphere,car,weather report,night or day,3
A,fc268a84c494543ba08f9b7a17b53292,"[{'label': 'A', 'text': 'office supply store'}, {'label': 'B', 'text': 'ammunition shop'}, {'label': 'C', 'text': 'windows 95'}, {'label': 'D', 'text': 'school'}, {'label': 'E', 'text': 'desk'}]",Sam ran out of clipboards. Where might he got for more?,office supply store,ammunition shop,windows 95,school,desk,0
A,2e8ba93eeb6ccc3d50ef55225a886bef,"[{'label': 'A', 'text': 'play piano'}, {'label': 'B', 'text': 'catch fish'}, {'label': 'C', 'text': 'sit down'}, {'label': 'D', 'text': 'eat meat'}, {'label': 'E', 'text': 'excrete'}]","Humans enjoy sitting while expressing themselves artistically, so what did they invent?",play piano,catch fish,sit down,eat meat,excrete,0
A,14e9f1ab04ad31019e71dc3fd2c0ca50,"[{'label': 'A', 'text': 'bank'}, {'label': 'B', 'text': 'desk drawer'}, {'label': 'C', 'text': 'purse'}, {'label': 'D', 'text': 'keep track of emails'}, {'label': 'E', 'text': 'keep accounts'}]",What would use an account book?,bank,desk drawer,purse,keep track of emails,keep accounts,0
A,0df36ca4e1767525f4e0d57013b3dfd7,"[{'label': 'A', 'text': 'sky'}, {'label': 'B', 'text': 'ground level'}, {'label': 'C', 'text': 'top of building'}, {'label': 'D', 'text': 'top of mountain'}, {'label': 'E', 'text': 'air'}]",Where do you see clouds?,sky,ground level,top of building,top of mountain,air,0
A,79abfe2d98399fa0029a09721e232b66,"[{'label': 'A', 'text': 'have no other choice'}, {'label': 'B', 'text': 'all know'}, {'label': 'C', 'text': ""can't help it""}, {'label': 'D', 'text': 'was given to'}, {'label': 'E', 'text': 'help people'}]",Must people get up and live life because they?,have no other choice,all know,can't help it,was given to,help people,0
C,a84a2308e9fa58e05aaf4c35ee131e06,"[{'label': 'A', 'text': 'grocery store'}, {'label': 'B', 'text': 'liquor store'}, {'label': 'C', 'text': 'diaper bag'}, {'label': 'D', 'text': 'dishwasher'}, {'label': 'E', 'text': 'medicine cabinet'}]","She dug around her what, but just could not find the baby bottle she swore she packed?",grocery store,liquor store,diaper bag,dishwasher,medicine cabinet,2
