answerKey,id,choices,stem,choice_0,choice_1,choice_2,label
B,d3b479933e716fb388dfb297e881054c,"[{'label': 'A', 'text': 'antique shop'}, {'label': 'B', 'text': 'house'}, {'label': 'C', 'text': 'dark place'}]","If a lantern is not for sale, where is it likely to be?",antique shop,house,dark place,1
C,fb721d7949d06915a2dd6fc6ec815325,"[{'label': 'A', 'text': 'laughter'}, {'label': 'B', 'text': 'laziness'}, {'label': 'C', 'text': 'headache'}]",Sitting to close while watching TV can cause what sort of pain?,laughter,laziness,headache,2
B,357d23b1b6ee9c8429732abbb87d3855,"[{'label': 'A', 'text': 'apiary'}, {'label': 'B', 'text': 'united states'}, {'label': 'C', 'text': 'michigan'}]","From state to state gardeners appreciate the bee, it is a popular pollinator where?",apiary,united states,michigan,1
C,4b35b9aa85643ef0ecfa011123c5d171,"[{'label': 'A', 'text': 'hardware store'}, {'label': 'B', 'text': 'old houses'}, {'label': 'C', 'text': 'old clock'}]","While moving the antique a wooden rod fell out, but since it was just part of the chimes what was still functional?",hardware store,old houses,old clock,2
C,b70ade2a5f379dea88958535e1e756e8,"[{'label': 'A', 'text': 'relaxation'}, {'label': 'B', 'text': 'losing money'}, {'label': 'C', 'text': 'get arrested'}]",If you're caught buying beer for children what will happen?,relaxation,losing money,get arrested,2
A,2e601d898d9b2ce9dc0bacc404e753e7,"[{'label': 'A', 'text': 'behind'}, {'label': 'B', 'text': 'slowly'}, {'label': 'C', 'text': 'lightly'}]",If your opponents in a marathon is very fast it is easy to fall what?,behind,slowly,lightly,0
C,52a5558b90ebbd84e31d28fad1efd7d7,"[{'label': 'A', 'text': 'window'}, {'label': 'B', 'text': 'table'}, {'label': 'C', 'text': 'cabinet'}]",If you there is glass in this you could possibly see dishes.,window,table,cabinet,2
B,7462b24ecb69645f5e54feb5809d2a61,"[{'label': 'A', 'text': 'rely on'}, {'label': 'B', 'text': 'coming home'}, {'label': 'C', 'text': 'keep secret'}]",What might a friend throw a party for another friend?,rely on,coming home,keep secret,1
C,0643240e71362d8c0f2032a728fab3a9,"[{'label': 'A', 'text': 'great outdoors'}, {'label': 'B', 'text': 'stream bed'}, {'label': 'C', 'text': 'rock wall'}]",What do lizards climb up?,great outdoors,stream bed,rock wall,2
A,b932b97619086f3f1a4f7e8a5e1037cf,"[{'label': 'A', 'text': 'take trips'}, {'label': 'B', 'text': 'grow shorter'}, {'label': 'C', 'text': 'become hysterical'}]",People do what during their time off from work?,take trips,grow shorter,become hysterical,0
B,b16a521cf1410b8e7839b2079fca7aeb,"[{'label': 'A', 'text': 'toy store'}, {'label': 'B', 'text': 'street'}, {'label': 'C', 'text': 'garage'}]",Where is a bicycle likely to be stolen?,toy store,street,garage,1
A,8d8f7307cc607de68ab89e916837754b,"[{'label': 'A', 'text': 'being understood'}, {'label': 'B', 'text': 'visiting friends'}, {'label': 'C', 'text': 'hug'}]",What does someone want when having fun with their friends and trying to fit in?,being understood,visiting friends,hug,0
C,a265e3719e2eaf39b8fe6c901717303e,"[{'label': 'A', 'text': 'better grade'}, {'label': 'B', 'text': 'embarassment'}, {'label': 'C', 'text': 'children will learn'}]",What will happen to someone after you are answering questions that he or she asks?,better grade,embarassment,children will learn,2
A,20564946584e90eebe82a0e4678d0107,"[{'label': 'A', 'text': 'ten fingers'}, {'label': 'B', 'text': 'two arms'}, {'label': 'C', 'text': 'two eyes'}]","Humans have a number of body parts that serve multiple functions.  Name something that they have an abundance of, and which serves a dual function.",ten fingers,two arms,two eyes,0
A,cafe19fc1e5caf677492d485ff670ba2,"[{'label': 'A', 'text': 'wild'}, {'label': 'B', 'text': 'galapagos archipelago'}, {'label': 'C', 'text': 'glass cage'}]","The lizard was at the zoo, the protester stole it and returned it to the what?",wild,galapagos archipelago,glass cage,0
C,ec0412aeb10cd536bfa5b6e8ba2bcc2f,"[{'label': 'A', 'text': 'wheels turning'}, {'label': 'B', 'text': 'lack of fuel'}, {'label': 'C', 'text': 'tire wear'}]",What happens when someone is driving their car for a long time?,wheels turning,lack of fuel,tire wear,2
B,84ea01cf91e17c539c39496a9f4aa8bf,"[{'label': 'A', 'text': 'send email'}, {'label': 'B', 'text': 'talk with people'}, {'label': 'C', 'text': 'talk to people'}]","The therapist told him he had to communicate his problems, he said to just be willing to do what?",send email,talk with people,talk to people,1
B,42e18930f7013dc41a3c6d6bc17be9ac,"[{'label': 'A', 'text': 'human face'}, {'label': 'B', 'text': 'motion'}, {'label': 'C', 'text': 'faces'}]",John saw a pair of disembodied lips floating towards him.  He was hypnotized by their what?,human face,motion,faces,1
C,c124bde6c01184d23b92542eea705269,"[{'label': 'A', 'text': 'windows'}, {'label': 'B', 'text': 'house'}, {'label': 'C', 'text': 'paint store'}]","The couple decided the new shades didn't match the old wall color, where did they go next?",windows,house,paint store,2
A,369c5574be5513cd1011e29010621610,"[{'label': 'A', 'text': 'south dakota'}, {'label': 'B', 'text': 'washington'}, {'label': 'C', 'text': 'scotland'}]","If you were in a aberdeen and had just left a tourist spot of four faces carved in a mountain, you'd probably be where?",south dakota,washington,scotland,0
A,42db8ffdbb3f116ad9f4f0cb791dfc3a,"[{'label': 'A', 'text': 'season with salt'}, {'label': 'B', 'text': 'prepare meals'}, {'label': 'C', 'text': 'better food'}]",What would cooks do when they are almost finished cooking?,season with salt,prepare meals,better food,0
B,5198f1ac4f753ed3e0acbe45c93fa48f,"[{'label': 'A', 'text': 'attempting to communicate'}, {'label': 'B', 'text': 'people to listen'}, {'label': 'C', 'text': 'making sound'}]",What are you hoping will happen when talking?,attempting to communicate,people to listen,making sound,1
C,171b800beb3759e93e1e49762d005fe6,"[{'label': 'A', 'text': 'larger family'}, {'label': 'B', 'text': 'fun'}, {'label': 'C', 'text': 'birth'}]","When the farmer was reproducing sheep, what did one sheep give later?",larger family,fun,birth,2
A,93e65088187a50c158ec42e6ebce4ade,"[{'label': 'A', 'text': 'answers'}, {'label': 'B', 'text': 'communication'}, {'label': 'C', 'text': 'happiness'}]",Sam  spent time chatting with friends about important things because he wanted to get what?,answers,communication,happiness,0
C,8092da807cd0bba511a524d3289bbda7,"[{'label': 'A', 'text': 'palpitations'}, {'label': 'B', 'text': 'reproducing'}, {'label': 'C', 'text': 'perspiration'}]","Living in a humid climate can be uncomfortable, it leads to a lot of what?",palpitations,reproducing,perspiration,2
C,74f4ced9551c740435a0a865a926741d,"[{'label': 'A', 'text': 'inclined'}, {'label': 'B', 'text': 'enthusiastic'}, {'label': 'C', 'text': 'disposed'}]","The agent of change had a loath feeling for the king, he would set for a plan to have him what?",inclined,enthusiastic,disposed,2
C,f3c6e4a973d99fe84239c630c4c698a3,"[{'label': 'A', 'text': 'birdhouse'}, {'label': 'B', 'text': 'nest'}, {'label': 'C', 'text': 'water fountain'}]",Where can birds clean themselves?,birdhouse,nest,water fountain,2
B,09e126345fc24a6958306d7de7b27244,"[{'label': 'A', 'text': 'compile'}, {'label': 'B', 'text': 'write code'}, {'label': 'C', 'text': 'get frustrated'}]",What does a human need to do before a program will exist?,compile,write code,get frustrated,1
A,31fef658ebb0cbadf3a4d93271169fab,"[{'label': 'A', 'text': 'dental office'}, {'label': 'B', 'text': 'las vegas'}, {'label': 'C', 'text': 'phone book'}]",Where do you visit a dentist?,dental office,las vegas,phone book,0
B,b76eeba042f79436954aa4d2eb7768ca,"[{'label': 'A', 'text': 'porch'}, {'label': 'B', 'text': 'railway station'}, {'label': 'C', 'text': 'flight of stairs'}]",Where do you go when you're about to board a vehicle on railing?,porch,railway station,flight of stairs,1
B,0238c8d1a00b6b112f91296ddab57c13,"[{'label': 'A', 'text': 'government'}, {'label': 'B', 'text': 'country'}, {'label': 'C', 'text': 'white house'}]",The president is the highest office where?,government,country,white house,1
B,ea4efe6071b6f40065b118a726977aba,"[{'label': 'A', 'text': 'movie theater'}, {'label': 'B', 'text': 'clerk'}, {'label': 'C', 'text': 'venue'}]",Who do you give money to at a ticket booth?,movie theater,clerk,venue,1
C,65e7a36ab495298a8a2431a3887a8770,"[{'label': 'A', 'text': 'exterior door'}, {'label': 'B', 'text': 'french door'}, {'label': 'C', 'text': 'car door'}]",Oil can fix the squeak on the hinges on what that you open or close when you drive to the store?,exterior door,french door,car door,2
C,a128d5b71ff7e8f3153381403cf9b01f,"[{'label': 'A', 'text': 'book'}, {'label': 'B', 'text': 'head'}, {'label': 'C', 'text': 'encyclopedia'}]",What is considered to be an outdated way to gain knowledge?,book,head,encyclopedia,2
C,eddf00f529e19dfa1e5f7a6bd326596d,"[{'label': 'A', 'text': 'pleasure'}, {'label': 'B', 'text': 'anger'}, {'label': 'C', 'text': 'loss of innocence'}]",What is learning about the world and how it works likely to cause?,pleasure,anger,loss of innocence,2
C,4df359d4fdc55f3c7b9f26975f2a932b,"[{'label': 'A', 'text': 'invisible'}, {'label': 'B', 'text': 'confusing'}, {'label': 'C', 'text': 'misunderstood'}]","The picture was clear,. Obviously, there had been a what?",invisible,confusing,misunderstood,2
A,c1a59ec700d373b632e4daa284021b0b,"[{'label': 'A', 'text': 'hand'}, {'label': 'B', 'text': 'nose'}, {'label': 'C', 'text': 'glove'}]",Where can someone find many a finger?,hand,nose,glove,0
B,efa4cb105ae2152a75faa0f999b72fbf,"[{'label': 'A', 'text': 'person'}, {'label': 'B', 'text': 'hospital'}, {'label': 'C', 'text': 'vein'}]",Where must you go for a blood transfusion?,person,hospital,vein,1
