answerKey,id,choices,stem,choice_0,choice_1,choice_2,label
A,d3b479933e716fb388dfb297e881054c,"[{'label': 'A', 'text': 'house'}, {'label': 'B', 'text': 'dark place'}, {'label': 'C', 'text': 'antique shop'}]","If a lantern is not for sale, where is it likely to be?",house,dark place,antique shop,0
C,fb721d7949d06915a2dd6fc6ec815325,"[{'label': 'A', 'text': 'laughter'}, {'label': 'B', 'text': 'laziness'}, {'label': 'C', 'text': 'headache'}]",Sitting to close while watching TV can cause what sort of pain?,laughter,laziness,headache,2
C,357d23b1b6ee9c8429732abbb87d3855,"[{'label': 'A', 'text': 'apiary'}, {'label': 'B', 'text': 'michigan'}, {'label': 'C', 'text': 'united states'}]","From state to state gardeners appreciate the bee, it is a popular pollinator where?",apiary,michigan,united states,2
B,26c8a7165d0ed7250b9328f90d83ba83,"[{'label': 'A', 'text': 'no longer exist'}, {'label': 'B', 'text': 'unable to work'}, {'label': 'C', 'text': 'born again'}]",Why do people who are dying receive social security payments?,no longer exist,unable to work,born again,1
C,400fb2e196e71abb70e5b3f9aab4b9ee,"[{'label': 'A', 'text': 'fall down'}, {'label': 'B', 'text': 'vomit'}, {'label': 'C', 'text': 'stagger'}]","The teens were trying to hide that they get drink, but when they walked in the door their what gave it away?",fall down,vomit,stagger,2
B,b70ade2a5f379dea88958535e1e756e8,"[{'label': 'A', 'text': 'losing money'}, {'label': 'B', 'text': 'get arrested'}, {'label': 'C', 'text': 'relaxation'}]",If you're caught buying beer for children what will happen?,losing money,get arrested,relaxation,1
C,52a5558b90ebbd84e31d28fad1efd7d7,"[{'label': 'A', 'text': 'table'}, {'label': 'B', 'text': 'window'}, {'label': 'C', 'text': 'cabinet'}]",If you there is glass in this you could possibly see dishes.,table,window,cabinet,2
A,7462b24ecb69645f5e54feb5809d2a61,"[{'label': 'A', 'text': 'coming home'}, {'label': 'B', 'text': 'keep secret'}, {'label': 'C', 'text': 'rely on'}]",What might a friend throw a party for another friend?,coming home,keep secret,rely on,0
A,0643240e71362d8c0f2032a728fab3a9,"[{'label': 'A', 'text': 'rock wall'}, {'label': 'B', 'text': 'great outdoors'}, {'label': 'C', 'text': 'stream bed'}]",What do lizards climb up?,rock wall,great outdoors,stream bed,0
C,b16a521cf1410b8e7839b2079fca7aeb,"[{'label': 'A', 'text': 'toy store'}, {'label': 'B', 'text': 'garage'}, {'label': 'C', 'text': 'street'}]",Where is a bicycle likely to be stolen?,toy store,garage,street,2
C,8d8f7307cc607de68ab89e916837754b,"[{'label': 'A', 'text': 'visiting friends'}, {'label': 'B', 'text': 'hug'}, {'label': 'C', 'text': 'being understood'}]",What does someone want when having fun with their friends and trying to fit in?,visiting friends,hug,being understood,2
A,20564946584e90eebe82a0e4678d0107,"[{'label': 'A', 'text': 'ten fingers'}, {'label': 'B', 'text': 'two arms'}, {'label': 'C', 'text': 'two eyes'}]","Humans have a number of body parts that serve multiple functions.  Name something that they have an abundance of, and which serves a dual function.",ten fingers,two arms,two eyes,0
C,cafe19fc1e5caf677492d485ff670ba2,"[{'label': 'A', 'text': 'glass cage'}, {'label': 'B', 'text': 'galapagos archipelago'}, {'label': 'C', 'text': 'wild'}]","The lizard was at the zoo, the protester stole it and returned it to the what?",glass cage,galapagos archipelago,wild,2
A,84ea01cf91e17c539c39496a9f4aa8bf,"[{'label': 'A', 'text': 'talk with people'}, {'label': 'B', 'text': 'talk to people'}, {'label': 'C', 'text': 'send email'}]","The therapist told him he had to communicate his problems, he said to just be willing to do what?",talk with people,talk to people,send email,0
